file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-WEB\src\main\java\com\crossoverJie\intercept\MethodCacheInterceptor.java,com.crossoverJie.intercept.MethodCacheInterceptor,class,5,6,1,5,20,1,0,19,6,0.71428573,0.33333334,0.33333334,5,0,3,2,0,0,3,0,0,0,7,0,0,7,0,0,0,0,0,94,6,2,4,2,2,3,6,23,1,21,3,1,0,0,58,1,1
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\pojo\StockOrderExample.java,com.crossoverJie.seconds.kill.pojo.StockOrderExample,class,3,5,2,3,12,2,0,4,13,0.6363637,0.38181818,0.8181818,11,0,10,0,1,0,11,0,0,0,3,0,0,0,3,0,0,0,0,352,6,0,1,0,0,0,1,8,0,6,1,0,3,0,21,1,0
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-ORDER-CONSUMER\src\test\java\com\crossoverjie\kafka\orderconsumer\RedisTest.java,com.crossoverjie.kafka.orderconsumer.RedisTest,class,6,6,0,6,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,1,1,2,0,0,0,0,9,1,0
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-WEB\src\main\java\com\crossoverJie\pojo\PriceVersionExample.java,com.crossoverJie.pojo.PriceVersionExample$GeneratedCriteria,innerclass,3,3,0,3,72,1,0,5,2169,0.8955224,0.009497965,0.009497965,67,0,63,0,4,0,67,0,0,0,1,0,0,0,1,0,0,0,0,274,63,0,4,0,0,115,1,1,2,1,1,0,0,0,42,1036,0
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-WEB\src\main\java\com\crossoverJie\lucene\Searcher.java,com.crossoverJie.lucene.Searcher,class,15,17,2,15,5,1,0,14,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,40,0,1,1,1,1,14,1,18,2,18,2,0,0,0,57,1,0
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-WEB\src\main\java\com\crossoverJie\dao\ContentDao.java,com.crossoverJie.dao.ContentDao,interface,1,2,1,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SERVICE\src\main\java\com\crossoverJie\api\dubbo\service\ssmtwo\DataSourceServiceImpl.java,com.crossoverJie.api.dubbo.service.ssmtwo.DataSourceServiceImpl,class,6,6,0,6,2,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,18,1,0
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-WEB\src\main\java\com\crossoverJie\kafka\optimization\ConsumerThreadMain.java,com.crossoverJie.kafka.optimization.ConsumerThreadMain,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,4,4,0,4,0,0,0,0,0,10,0,0,0,0,0,3,1,5,0,5,0,0,0,0,17,1,0
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\dao\StockMapper.java,com.crossoverJie.seconds.kill.dao.StockMapper,interface,3,4,1,3,12,1,0,0,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,1,0
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-API\src\main\java\com\crossoverJie\api\DemoApi.java,com.crossoverJie.api.DemoApi,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
