file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-WEB\src\main\java\com\crossoverJie\intercept\MethodCacheInterceptor.java,com.crossoverJie.intercept.MethodCacheInterceptor,MethodCacheInterceptor/0,true,27,0,0,0,0,6,2,23,0,4,0,2,0,0,1,0,1,0,0,4,9,0,3,0,0,0,23,1,0,true
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-WEB\src\main\java\com\crossoverJie\intercept\MethodCacheInterceptor.java,com.crossoverJie.intercept.MethodCacheInterceptor,setRedisUtil/1[com.crossoverJie.util.RedisUtil],false,136,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-WEB\src\main\java\com\crossoverJie\intercept\MethodCacheInterceptor.java,com.crossoverJie.intercept.MethodCacheInterceptor,"getCacheKey/3[java.lang.String,java.lang.String,java.lang.Object[]]",false,125,0,1,1,0,4,3,10,1,2,3,3,0,0,1,2,0,2,2,2,2,0,2,0,0,0,12,2,0,true
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-WEB\src\main\java\com\crossoverJie\intercept\MethodCacheInterceptor.java,com.crossoverJie.intercept.MethodCacheInterceptor,invoke/1[com.crossoverJie.intercept.MethodInvocation],false,57,3,5,0,5,6,13,42,4,7,1,13,2,1,0,2,1,0,1,0,8,1,2,1,0,0,25,1,1,false
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-WEB\src\main\java\com\crossoverJie\intercept\MethodCacheInterceptor.java,com.crossoverJie.intercept.MethodCacheInterceptor,"isAddCache/2[java.lang.String,java.lang.String]",false,108,0,1,1,0,3,1,7,1,1,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,9,2,0,true
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\pojo\StockOrderExample.java,com.crossoverJie.seconds.kill.pojo.StockOrderExample,getOrderByClause/0,false,22,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\pojo\StockOrderExample.java,com.crossoverJie.seconds.kill.pojo.StockOrderExample,setOrderByClause/1[java.lang.String],false,18,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\pojo\StockOrderExample.java,com.crossoverJie.seconds.kill.pojo.StockOrderExample,getOredCriteria/0,false,34,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\pojo\StockOrderExample.java,com.crossoverJie.seconds.kill.pojo.StockOrderExample,setDistinct/1[boolean],false,26,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\pojo\StockOrderExample.java,com.crossoverJie.seconds.kill.pojo.StockOrderExample,isDistinct/0,false,30,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\pojo\StockOrderExample.java,com.crossoverJie.seconds.kill.pojo.StockOrderExample,or/1[com.crossoverJie.seconds.kill.pojo.StockOrderExample.Criteria],false,38,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\pojo\StockOrderExample.java,com.crossoverJie.seconds.kill.pojo.StockOrderExample,createCriteria/0,false,48,2,1,0,1,2,3,7,1,1,0,3,1,1,0,1,0,0,0,1,1,0,1,0,0,0,4,1,0,false
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\pojo\StockOrderExample.java,com.crossoverJie.seconds.kill.pojo.StockOrderExample,or/0,false,42,2,1,0,1,1,2,5,1,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\pojo\StockOrderExample.java,com.crossoverJie.seconds.kill.pojo.StockOrderExample,StockOrderExample/0,true,14,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\pojo\StockOrderExample.java,com.crossoverJie.seconds.kill.pojo.StockOrderExample,clear/0,false,61,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\code\java-repos-evaluation\cloned_repos\crossoverJie\SSM\SSM-SECONDS-KILL\SSM-SECONDS-KILL-SERVICE\src\main\java\com\crossoverJie\seconds\kill\pojo\StockOrderExample.java,com.crossoverJie.seconds.kill.pojo.StockOrderExample,createCriteriaInternal/0,false,56,1,3,2,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0,false
