file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\preview\PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,onPreExecute/0,false,160,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\preview\PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,doInBackground/1[java.lang.Object[]],false,165,1,0,0,0,9,12,45,1,7,1,12,0,0,1,4,2,0,3,1,9,1,3,0,0,0,42,4,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\preview\PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,"TextLoadAsyncTask/2[java.lang.ref.WeakReference<com.owncloud.android.ui.preview.TextView>,java.lang.ref.WeakReference<com.owncloud.android.ui.preview.FrameLayout>]",true,154,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,2,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\preview\PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,onPostExecute/1[java.io.StringWriter],false,214,3,0,0,0,6,8,18,0,2,1,8,0,0,0,4,0,0,1,0,3,0,3,0,0,0,17,4,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\activity\StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,setStorageMigrationProgressListener/1[com.owncloud.android.ui.activity.StorageMigration.StorageMigrationProgressListener],false,63,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\activity\StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,createMigrationProgressDialog/0,false,163,2,1,1,0,1,5,13,1,1,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14,2,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\activity\StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,migrate/0,false,67,3,5,1,4,2,7,11,0,1,0,7,3,1,0,0,0,0,0,0,1,0,1,0,0,0,15,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\activity\StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,askToOverride/0,false,115,4,1,1,0,3,14,27,0,10,0,14,0,0,0,2,0,0,0,0,3,0,2,0,0,4,24,2,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\activity\StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"StorageMigration/5[com.owncloud.android.ui.activity.Context,com.owncloud.android.ui.activity.User,java.lang.String,java.lang.String,com.owncloud.android.ui.activity.ViewThemeUtils]",true,55,3,1,1,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\activity\StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,storageFolderAlreadyExists/0,false,86,1,2,1,1,1,3,4,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\activity\StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"a/2[com.owncloud.android.ui.activity.ViewThemeUtils,com.owncloud.android.ui.activity.Context]",false,91,4,0,0,0,1,9,14,0,9,2,9,0,0,0,0,0,0,0,0,2,0,1,0,0,4,14,9,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,isSearchEventSet/1[com.owncloud.android.ui.fragment.SearchEvent],false,2169,2,6,6,0,5,3,7,2,1,1,3,0,0,0,4,0,0,0,0,1,0,1,0,0,0,9,2,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,onMessageEvent/1[com.owncloud.android.ui.fragment.CommentsEvent],false,1836,3,1,0,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,onStart/0,false,2113,0,0,0,0,1,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,onHeaderClicked/0,false,732,4,4,0,4,4,4,5,0,0,0,4,2,1,0,1,0,1,0,0,0,0,1,0,0,0,12,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,isSearchFragment/0,false,2141,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,onMessageEvent/1[com.owncloud.android.ui.fragment.FileLockEvent],false,2056,10,3,0,3,3,13,22,0,4,1,13,0,0,0,0,1,0,1,0,4,0,2,0,0,2,28,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,onLongItemClicked/1[com.owncloud.android.datamodel.OCFile],false,1124,3,3,0,3,3,6,14,1,1,1,6,3,3,0,2,0,0,0,0,1,0,2,0,0,0,29,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,isLoading/0,false,2204,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,onResume/0,false,273,3,2,0,2,4,6,13,1,1,0,6,2,5,0,2,0,0,0,0,2,0,1,0,0,0,13,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,"getDirectoryForListDirectory/2[com.owncloud.android.datamodel.OCFile,com.owncloud.android.datamodel.FileDataStorageManager]",false,1522,2,5,1,4,4,5,15,1,0,2,5,0,0,0,2,0,0,1,0,3,1,2,0,0,0,22,2,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,onMessageEvent/1[com.owncloud.android.ui.fragment.EncryptionEvent],false,1940,10,5,0,5,4,20,31,0,7,1,20,1,1,0,1,0,0,1,1,8,1,4,0,0,2,34,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,getCapabilities/0,false,1464,5,7,4,3,1,4,4,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,newDocument/0,false,711,0,0,0,0,1,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,createRichWorkspace/0,false,627,7,5,0,5,2,11,13,0,2,0,11,0,0,0,0,0,0,0,0,2,0,2,0,0,1,13,1,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,"encryptFolder/8[com.owncloud.android.datamodel.OCFile,long,java.lang.String,java.lang.String,boolean,java.lang.String,java.lang.String,com.owncloud.android.datamodel.FileDataStorageManager]",false,1987,14,10,1,9,9,24,35,0,8,8,24,0,0,0,6,1,0,3,0,8,1,3,0,0,3,44,2,0,false
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,onBrowseUp/0,false,1068,4,5,1,4,3,6,20,3,4,0,6,3,10,0,1,1,0,2,1,6,1,1,0,0,0,52,1,0,true
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,onActivityCreated/1[com.owncloud.android.ui.fragment.Bundle],false,378,8,10,0,10,14,25,51,0,4,1,25,7,12,0,9,0,1,3,0,9,0,3,0,0,2,59,1,0,true
C:\code\java-repos-evaluation\cloned_repos\nextcloud\android\app\src\main\java\com\owncloud\android\ui\fragment\OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,updateFileList/0,false,1090,3,5,1,4,1,4,5,0,0,0,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,false
